# Configuration:
#   Braille Code: Nemeth
#   Generate Braille: False
#   Model: gpt-5.2
#   API Key: OPENAI_API_KEY
#   Batch Size: 20
#   Number of Examples: 0
#   Example Braille File: RustTestData/Nemeth.brls
#   Example MathML File: RustTestData/Nemeth.mmls
#   Input Braille Dir: test_data/Nemeth
#   Input MathML Dir: test_data/MathML
#   Instructions: You are an expert braille translator specializing in Nemeth braille for mathematics and chemistry notation. The user will number the input and follow it with {braille_code} braille to be translated into MathML. Your task is to translate each sequence of Nemeth braille characters into valid MathML code. Remember that the MathML starts with a '<math>' tag and ends with a '</math>' tag. For each braille input, output ONLY the raw MathML string starting with <math> and ending with </math>. Every element in the MathML must be properly closed and nested. Do not include markdown formatting, explanations, or any other text. Do not include any newlines or carriage returns. Do not include any braille unicode characters in the MathML output. Add '|next-item|' between each MathML output. 
#
# 200 items. Usage info: prompt=10471, candidates=12065, total=22536, time=368354ms, TPS=30530.791545793618.2f
#

# NOT Normalized MathML
# Match | Test Input | Expected | Computed
✗ | ⠋⠷⠞⠾⠀⠨⠅⠀⠁⠃⠘⠞ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>t</mi><mo stretchy="false">)</mo><mo>=</mo><mi>a</mi><msup><mi>b</mi><mi>t</mi></msup></mrow></math> | <math><mrow><mi>f</mi><mo>(</mo><mi>t</mi><mo>)</mo><mo>=</mo><mi>a</mi><mi>b</mi><msup><mi>t</mi><mo></mo></msup></mrow></math>
✗ | ⠭⠀⠨⠅⠀⠭⠂⠠⠀⠭⠆⠠⠀⠄⠄⠄⠠⠀⠭⠰⠝⠠ | <math> <mrow> <mrow> <mi>x</mi> <mo>=</mo> <msub> <mi>x</mi> <mn>1</mn> </msub> </mrow> <mo>,</mo> <msub> <mi>x</mi> <mn>2</mn> </msub> <mo>,</mo> <mi>…</mi> <mo>,</mo> <msub> <mi>x</mi> <mi>n</mi> </msub> <mo>,</mo> </mrow> </math> | <math> <mrow> <mi>x</mi> <mo>≠</mo> <mrow> <mo>{</mo> <mrow> <mi>k</mi> <mo>,</mo> <msup> <mi>x</mi> <mo>′</mo> </msup> <mo>,</mo> <msup> <mi>x</mi> <mo>″</mo> </msup> <mo>,</mo> <mi>…</mi> <mo>,</mo> <msup> <mi>x</mi> <mi>n</mi> </msup> </mrow> <mo>}</mo> </mrow> </mrow> </math>
✗ | ⠭⠰⠊⠀⠨⠅⠀⠁⠝⠽⠀⠧⠰⠚⠠ | <math> <mrow> <mrow> <msub> <mi>x</mi> <mi>i</mi> </msub> <mo>=</mo> <mrow> <mi>any </mi> <mo>⁢</mo> <msub> <mi>v</mi> <mi>j</mi> </msub> </mrow> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <msup> <mi>x</mi> <mi>i</mi> </msup> <mo>≠</mo> <mrow> <mi>any</mi> <mo>⁢</mo> <msup> <mi>v</mi> <mi>j</mi> </msup> </mrow> </mrow> </math>
✗ | ⠋⠘⠤⠂ | <math> <msup> <mi>f</mi> <mrow> <mo>-</mo> <mn>1</mn> </mrow> </msup> </math> | <math> <mrow> <mi>f</mi> <mo>-</mo> <mn>1</mn> </mrow> </math>
✗ | ⠰⠋ | <math> <mi>f</mi> </math> | <math> <msup> <mi>f</mi> <mo>′</mo> </msup> </math>
✗ | ⠰⠭⠠ | <math> <mrow> <mi>x</mi> <mo>,</mo> </mrow> </math> | <math> <msup> <mi>x</mi> <mo>′</mo> </msup> </math>
✗ | ⠰⠭ | <math> <mi>x</mi> </math> | <math> <msup> <mi>x</mi> <mo>′</mo> </msup> </math>
✗ | ⠋⠷⠭⠾⠀⠨⠅⠀⠹⠂⠢⠠⠴⠴⠴⠭⠤⠴⠨⠂⠭⠘⠆⠐⠬⠂⠴⠴⠴⠌⠭⠼ | <math><mrow><mi>f</mi><mo stretchy="false">(</mo><mi>x</mi><mo stretchy="false">)</mo><mo>=</mo><mfrac><mrow><mn>15,000</mn><mi>x</mi><mo>−</mo><mn>0.1</mn><msup><mi>x</mi><mn>2</mn></msup><mo>+</mo><mn>1000</mn></mrow><mi>x</mi></mfrac></mrow></math> | <--bad MathML--><math><mi>f</mi><mo>(</mo><mi>x</mi><mo>)</mo><mo>&#x2260;</mo><mrow><mo>{</mo><mn>0</mn><mo>,</mo><mrow><mo>&#x2026;</mo><mi>x</mi><mo>&#x2212;</mo><mi>.</mi><mi>x</mi><mo>&#x2212;</mo><mn>2</mn><mo>,</mo><mo>&#x2026;</mo><mo>,</mo><mi>x</mi><mo>}</mo></mrow></math>
✗ | ⠷⠽⠀⠨⠅⠀⠼⠴⠾⠀⠁⠎⠀⠭⠀⠫⠕⠀⠤⠤⠠⠿⠸⠲ | <math> <mrow> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>y</mi> <mo>=</mo> <mn>0</mn> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mi>as</mi> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>→</mo> <mrow> <mo>–</mo> <mi>∞</mi> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>y</mi> <mo>≠</mo> <mn>0</mn> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mi>as</mi> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>→</mo> <mrow> <mo>-</mo> <mi>∞</mi> </mrow> </mrow> <mo>=</mo> </mrow> </math>
✗ | ⠷⠽⠀⠨⠅⠀⠼⠴⠾⠀⠁⠎⠀⠭⠀⠫⠕⠀⠠⠿⠸⠲ | <math> <mrow> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>y</mi> <mo>=</mo> <mn>0</mn> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mi>as</mi> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>→</mo> <mi>∞</mi> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mi>y</mi> <mo>≠</mo> <mn>0</mn> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mi>as</mi> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>→</mo> <mi>∞</mi> </mrow> <mo>=</mo> </mrow> </math>
✗ | ⠭⠀⠐⠅⠀⠁ | <math> <mrow> <mi>x</mi> <mo>&lt;</mo> <mi>a</mi> </mrow> </math> | <math> <mrow> <mi>x</mi> <mo>,</mo> <mi>k</mi> <mo>,</mo> <mi>a</mi> </mrow> </math>
✗ | ⠭⠀⠨⠂⠀⠁ | <math> <mrow> <mi>x</mi> <mo>&gt;</mo> <mi>a</mi> </mrow> </math> | <math> <mrow> <mi>x</mi> <mo>→</mo> <mi>a</mi> </mrow> </math>
✓ | ⠭⠀⠫⠕⠀⠤⠠⠿ | <math> <mrow> <mi>x</mi> <mo>→</mo> <mrow> <mo>-</mo> <mi>∞</mi> </mrow> </mrow> </math> | <math> <mrow> <mi>x</mi> <mo>→</mo> <mrow> <mo>-</mo> <mi>∞</mi> </mrow> </mrow> </math>
✓ | ⠋⠷⠭⠾⠀⠫⠕⠀⠤⠠⠿ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>→</mo> <mrow> <mo>-</mo> <mi>∞</mi> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>→</mo> <mrow> <mo>-</mo> <mi>∞</mi> </mrow> </mrow> </math>
✗ | ⠭⠀⠨⠅⠀⠼⠴⠸⠆ | <math> <mrow> <mrow> <mi>x</mi> <mo>=</mo> <mn>0</mn> </mrow> <mo>;</mo> </mrow> </math> | <math> <mrow> <mi>x</mi> <mo>≠</mo> <msup> <mn>0</mn> <mo>′</mo> </msup> </mrow> </math>
✗ | ⠠⠁⠎⠀⠭⠀⠫⠕⠀⠼⠴⠘⠬⠠⠀⠋⠷⠭⠾⠀⠫⠕⠀⠠⠿⠸⠲ | <math> <mrow> <mrow> <mrow> <mrow> <mi>As </mi> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>→</mo> <msup> <mn>0</mn> <mo>+</mo> </msup> </mrow> <mo>,</mo> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>→</mo> <mi>∞</mi> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>As</mi> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>→</mo> <mrow> <msup> <mn>0</mn> <mo>-</mo> </msup> <mo>⁢</mo> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> <mo>→</mo> <mi>∞</mi> </mrow> <mo>=</mo> </mrow> </math>
✗ | ⠠⠁⠎⠀⠭⠀⠫⠕⠀⠁⠘⠤⠤⠠⠀⠋⠷⠭⠾⠀⠫⠕⠀⠬⠤⠠⠿⠀⠕⠗⠀⠭⠀⠫⠕⠀⠁⠘⠬⠠⠀⠋⠷⠭⠾⠀⠫⠕⠀⠬⠤⠠⠿⠸⠲ | <math> <mrow> <mrow> <mrow> <mrow> <mi>As </mi> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>→</mo> <msup> <mi>a</mi> <mo>–</mo> </msup> </mrow> <mo>,</mo> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>→</mo> <mrow> <mrow> <mo>±</mo> <mi>∞</mi> </mrow> <mo>⁢</mo> <mi> or </mi> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>→</mo> <msup> <mi>a</mi> <mo>+</mo> </msup> </mrow> <mo>,</mo> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>→</mo> <mrow> <mo>±</mo> <mi>∞</mi> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>As</mi> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>&gt;</mo> <mrow> <mi>a</mi> <mo>-</mo> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> <mo>&gt;</mo> <mrow> <mrow> <mo>-</mo> <mi>∞</mi> </mrow> <mo>⁢</mo> <mi>or</mi> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>&gt;</mo> <mrow> <mi>a</mi> <mo>-</mo> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> <mo>&gt;</mo> <mrow> <mo>-</mo> <mi>∞</mi> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✗ | ⠽⠀⠨⠅⠀⠼⠴⠨ | <math> <mrow> <mi>y</mi> <mo>=</mo> <mn>0.</mn> </mrow> </math> | <math> <mrow> <mi>y</mi> <mo>=</mo> <mn>4</mn> </mrow> </math>
✗ | ⠠⠁⠎⠀⠭⠀⠫⠕⠀⠠⠿⠕⠗⠀⠭⠀⠫⠕⠀⠤⠠⠿⠠⠀⠐⠅⠍⠞⠑⠭⠞⠸⠌⠨⠂⠋⠷⠭⠾⠀⠫⠕⠀⠃⠸⠲ | <math> <mrow> <mrow> <mrow> <mrow> <mi>As </mi> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>→</mo> <mrow> <mi>∞</mi> <mo>⁢</mo> <mi>or </mi> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>→</mo> <mrow> <mo>-</mo> <mi>∞</mi> </mrow> </mrow> <mo>,</mo> <mrow> <mrow> <mi>&lt;mtext/&gt;</mi> <mo>⁢</mo> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> <mo>→</mo> <mi>b</mi> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mrow> <mi>As</mi> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>&gt;</mo> <mrow> <mi>∞</mi> <mo>⁢</mo> <mi>or</mi> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>&gt;</mo> <mrow> <mo>-</mo> <mi>∞</mi> </mrow> </mrow> <mo>,</mo> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>&gt;</mo> <mi>b</mi> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✗ | ⠭⠀⠨⠅⠀⠼⠆⠨ | <math> <mrow> <mi>x</mi> <mo>=</mo> <mn>2.</mn> </mrow> </math> | <math> <mrow> <mi>x</mi> <mo>=</mo> <mn>6</mn> </mrow> </math>
✗ | ⠽⠀⠨⠅⠀⠼⠲⠨ | <math> <mrow> <mi>y</mi> <mo>=</mo> <mn>4.</mn> </mrow> </math> | <math> <mrow> <mi>y</mi> <mo>=</mo> <mn>0</mn> </mrow> </math>
✗ | ⠋⠷⠭⠾⠀⠨⠅⠀⠹⠂⠌⠭⠬⠆⠼⠬⠒ | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mfrac> <mn>1</mn> <mrow> <mi>x</mi> <mo>+</mo> <mn>2</mn> </mrow> </mfrac> <mo>+</mo> <mn>3</mn> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mo>(</mo> <mfrac> <mrow> <mi>x</mi> <mo>-</mo> <mn>2</mn> </mrow> <mn>2</mn> </mfrac> <mo>)</mo> </mrow> </mrow> </math>
✗ | ⠭⠀⠨⠅⠀⠤⠼⠆⠠ | <math> <mrow> <mrow> <mi>x</mi> <mo>=</mo> <mrow> <mo>-</mo> <mn>2</mn> </mrow> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mi>x</mi> <mo>=</mo> <mrow> <mo>-</mo> <mn>6</mn> </mrow> </mrow> </math>
✗ | ⠠⠁⠎⠀⠭⠀⠫⠕⠀⠤⠼⠆⠘⠤⠠⠀⠋⠷⠭⠾⠀⠫⠕⠀⠤⠠⠿⠠⠀⠁⠝⠙⠀⠁⠎⠀⠭⠀⠫⠕⠀⠤⠼⠆⠘⠬⠠⠀⠋⠷⠭⠾⠀⠫⠕⠀⠠⠿⠸⠲ | <math> <mrow> <mrow> <mrow> <mrow> <mi>As </mi> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>→</mo> <mrow> <mo>-</mo> <msup> <mn>2</mn> <mo>-</mo> </msup> </mrow> </mrow> <mo>,</mo> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>→</mo> <mrow> <mo>-</mo> <mi>∞</mi> </mrow> </mrow> <mo>,</mo> <mrow> <mrow> <mi>and as</mi> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>→</mo> <mrow> <mo>-</mo> <msup> <mn>2</mn> <mo>+</mo> </msup> </mrow> </mrow> <mo>,</mo> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>→</mo> <mi>∞</mi> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>As</mi> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>&gt;</mo> <mrow> <mrow> <mo>-</mo> <mn>6</mn> </mrow> <mo>-</mo> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> <mo>&gt;</mo> <mrow> <mrow> <mo>-</mo> <mi>∞</mi> </mrow> <mo>⁢</mo> <mi>and</mi> <mo>⁢</mo> <mi>as</mi> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>&gt;</mo> <mrow> <mrow> <mo>-</mo> <mn>6</mn> </mrow> <mo>-</mo> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> <mo>&gt;</mo> <mi>∞</mi> </mrow> <mo>.</mo> </mrow> </math>
✗ | ⠠⠁⠎⠀⠭⠀⠫⠕⠀⠬⠤⠠⠿⠠⠀⠋⠷⠭⠾⠀⠫⠕⠀⠼⠒⠨ | <math> <mrow> <mrow> <mrow> <mi>As </mi> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>→</mo> <mrow> <mo>±</mo> <mi>∞</mi> </mrow> </mrow> <mo>,</mo> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>→</mo> <mn>3.</mn> </mrow> </mrow> </math> | <math> <mrow> <mrow> <mi>As</mi> <mo>⁢</mo> <mi>x</mi> </mrow> <mo>&gt;</mo> <mrow> <mrow> <mo>-</mo> <mi>∞</mi> </mrow> <mo>⁢</mo> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> <mo>&gt;</mo> <mn>2</mn> </mrow> </math>
✓ | ⠠⠏⠷⠭⠾⠀⠁⠝⠙⠀⠠⠟⠷⠭⠾⠸⠲ | <math> <mrow> <mrow> <mrow> <mi>P</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>⁢</mo> <mi>and</mi> <mo>⁢</mo> <mrow> <mi>Q</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>P</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>⁢</mo> <mi>and</mi> <mo>⁢</mo> <mrow> <mi>Q</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✓ | ⠰⠞ | <math> <mi>t</mi> </math> | <math> <mi>t</mi> </math>
✓ | ⠰⠠⠉ | <math> <mi>C</mi> </math> | <math> <mi>C</mi> </math>
✓ | ⠠⠉⠷⠞⠾ | <math> <mrow> <mi>C</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </math> | <math> <mrow> <mi>C</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>t</mi> <mo>)</mo> </mrow> </mrow> </math>
✗ | ⠠⠉⠷⠂⠆⠾⠀⠨⠅⠀⠹⠢⠬⠂⠆⠌⠂⠴⠴⠬⠂⠴⠷⠂⠆⠾⠼⠀⣍⠀⠿⠀⠨⠅⠀⠹⠂⠶⠌⠆⠆⠴⠼ | <math> <mtable> <mtr> <mtd> <mrow> <mi>C</mi> <mo>(</mo> <mn>12</mn> <mo>)</mo> </mrow> </mtd> <mtd> <mo>=</mo> </mtd> <mtd> <mfrac> <mrow> <mn>5</mn> <mo>+</mo> <mn>12</mn> </mrow> <mrow> <mn>100</mn> <mo>+</mo> <mn>10</mn> <mo>(</mo> <mn>12</mn> <mo>)</mo> </mrow> </mfrac> </mtd> </mtr> <mtr> <mtd> <mi> </mi> </mtd> <mtd> <mo>=</mo> </mtd> <mtd> <mfrac> <mn>17</mn> <mn>220</mn> </mfrac> </mtd> </mtr> </mtable> </math> | <math> <mrow> <mrow> <mrow> <mi>C</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mn>26</mn> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mo>(</mo> <mfrac> <mrow> <mn>1</mn> <mo>-</mo> <mn>26</mn> </mrow> <mrow> <mn>100</mn> <mo>-</mo> <mn>100</mn> </mrow> </mfrac> <mo>)</mo> </mrow> </mrow> <mo>,</mo> <mrow> <mi>or</mi> <mo>=</mo> <mrow> <mo>(</mo> <mfrac> <mn>10</mn> <mn>660</mn> </mfrac> <mo>)</mo> </mrow> </mrow> </mrow> </math>
✗ | ⠹⠂⠶⠌⠆⠆⠴⠼⠀⠈⠱⠈⠱⠀⠼⠴⠨⠴⠦⠀⠨⠂⠀⠹⠂⠌⠆⠴⠼⠀⠨⠅⠀⠼⠴⠨⠴⠢⠠ | <math> <mrow> <mrow> <mfrac> <mn>17</mn> <mn>220</mn> </mfrac> <mo>≈</mo> <mrow> <mn>0.08</mn> <mo>&gt;</mo> <mrow> <mfrac> <mn>1</mn> <mn>20</mn> </mfrac> <mo>=</mo> <mn>0.05</mn> </mrow> </mrow> </mrow> <mo>,</mo> </mrow> </math> | <math> <mrow> <mrow> <mfrac> <mn>10</mn> <mn>660</mn> </mfrac> <mo>≈</mo> <mn>4.44</mn> </mrow> <mo>,</mo> <mrow> <mfrac> <mn>12</mn> <mn>40</mn> </mfrac> <mo>=</mo> <mn>4.42</mn> </mrow> </mrow> </math>
✗ | ⠭⠘⠆⠐⠤⠔⠀⠨⠅⠀⠼⠴⠀⣍⠭⠘⠆⠀⠨⠅⠀⠼⠔⠀⣍⠭⠀⠨⠅⠀⠬⠤⠒ | <math> <mtable> <mtr> <mtd> <mrow> <msup> <mi>x</mi> <mn>2</mn> </msup> <mo>-</mo> <mn>9</mn> </mrow> </mtd> <mtd> <mo>=</mo> </mtd> <mtd> <mn>0</mn> </mtd> </mtr> <mtr> <mtd> <msup> <mi>x</mi> <mn>2</mn> </msup> </mtd> <mtd> <mo>=</mo> </mtd> <mtd> <mn>9</mn> </mtd> </mtr> <mtr> <mtd> <mi>x</mi> </mtd> <mtd> <mo>=</mo> </mtd> <mtd> <mn>±3</mn> </mtd> </mtr> </mtable> </math> | <math> <mrow> <mrow> <mrow> <msup> <mi>x</mi> <mn>2</mn> </msup> <mo>-</mo> <mn>1</mn> </mrow> <mo>=</mo> <mn>4</mn> </mrow> <mo>,</mo> <mrow> <msup> <mi>x</mi> <mn>2</mn> </msup> <mo>=</mo> <mn>5</mn> </mrow> <mo>,</mo> <mrow> <mi>x</mi> <mo>=</mo> <mrow> <mo>-</mo> <mn>3</mn> </mrow> </mrow> </mrow> </math>
✗ | ⠭⠀⠨⠅⠀⠼⠒ | <math> <mrow> <mi>x</mi> <mo>=</mo> <mn>3</mn> </mrow> </math> | <math> <mrow> <mi>x</mi> <mo>=</mo> <mn>2</mn> </mrow> </math>
✗ | ⠋⠷⠭⠾⠀⠨⠅⠀⠹⠲⠭⠌⠢⠷⠭⠤⠂⠾⠷⠭⠤⠢⠾⠼⠸⠲ | <math> <mrow> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mfrac> <mrow> <mn>4</mn> <mo>⁢</mo> <mi>x</mi> </mrow> <mrow> <mn>5</mn> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>-</mo> <mn>1</mn> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>-</mo> <mn>5</mn> </mrow> <mo>)</mo> </mrow> </mrow> </mfrac> </mrow> <mo>.</mo> </mrow> </math> | <math> <mrow> <mrow> <mrow> <mi>f</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mrow> <mo>(</mo> <mfrac> <mi>x</mi> <mrow> <mi>x</mi> <mo>-</mo> <mn>2</mn> </mrow> </mfrac> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mi>x</mi> <mo>-</mo> <mn>2</mn> </mrow> <mo>)</mo> </mrow> </mrow> </mrow> <mo>.</mo> </mrow> </math>
✗ | ⠅⠷⠭⠾⠀⠨⠅⠀⠹⠢⠬⠆⠭⠘⠆⠐⠌⠆⠤⠭⠤⠭⠘⠆⠐⠼⠀⣍⠀⠿⠀⠨⠅⠀⠹⠢⠬⠆⠭⠘⠆⠐⠌⠷⠆⠬⠭⠾⠷⠂⠤⠭⠾⠼ | <math> <mtable> <mtr> <mtd> <mrow> <mi>k</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> </mtd> <mtd> <mo>=</mo> </mtd> <mtd> <mfrac> <mrow> <mn>5</mn> <mo>+</mo> <mrow> <mn>2</mn> <mo>⁢</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> </mrow> <mrow> <mn>2</mn> <mo>-</mo> <mi>x</mi> <mo>-</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> </mfrac> </mtd> </mtr> <mtr> <mtd> <mi> </mi> </mtd> <mtd> <mo>=</mo> </mtd> <mtd> <mfrac> <mrow> <mn>5</mn> <mo>+</mo> <mrow> <mn>2</mn> <mo>⁢</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> </mrow> <mrow> <mrow> <mo>(</mo> <mrow> <mn>2</mn> <mo>+</mo> <mi>x</mi> </mrow> <mo>)</mo> </mrow> <mo>⁢</mo> <mrow> <mo>(</mo> <mrow> <mn>1</mn> <mo>-</mo> <mi>x</mi> </mrow> <mo>)</mo> </mrow> </mrow> </mfrac> </mtd> </mtr> </mtable> </math> | <math> <mrow> <mrow> <mrow> <mi>k</mi> <mo>⁡</mo> <mrow> <mo>(</mo> <mi>x</mi> <mo>)</mo> </mrow> </mrow> <mo>=</mo> <mrow> <mo>(</mo> <mfrac> <mrow> <mn>1</mn> <mo>-</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> <mrow> <mrow> <mo>-</mo> <mi>x</mi> </mrow> <mo>-</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> </mfrac> <mo>)</mo> </mrow> </mrow> <mo>,</mo> <mrow> <mi>or</mi> <mo>=</mo> <mrow> <mo>(</mo> <mfrac> <mrow> <mn>1</mn> <mo>-</mo> <msup> <mi>x</mi> <mn>2</mn> </msup> </mrow> <mrow> <mo>(</mo> <mrow> <mn>2</mn> <mo>-</mo> <mi>x</mi> </mrow> <mo>)</mo> </mrow> </mfrac> <mo>)</mo> </mrow> </mrow> </mrow> </math>
✗ | ⠭⠀⠨⠅⠀⠤⠤⠆ | <math> <mrow> <mi>x</mi> <mo>=</mo> <mn>–2</mn> </mrow> </math> | <math> <mrow> <mi>x</mi> <mo>=</mo> <mrow> <mo>-</mo> <mrow> <mo>-</mo> <mn>6</mn> </mrow> </mrow> </mrow> </math>
